,id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,rs_ppg,po_ppg,cescin,rs_gaa,po_gaa
0,9,David Bornhammar,18,Sweden,EURO,73,198,D,1999,192,192,55,9,6,15,44,0,0,0,0,0,0,0,0,no,0.2727272727272727,0.0,1203.84,-5.191304347826087,-1.2782608695652171
5,71,Bjorn Nord,28,Sweden,EURO,72,190,D,2000,289,211,81,23,22,45,74,-1,13,4,2,6,8,0,0,no,0.5555555555555556,0.4615384615384616,1322.9699999999998,9.125984251968504,2.9330708661417324
7,85,Kristofer Ottosson,24,Sweden,EURO,70,185,C,2000,148,211,55,27,15,42,12,20,13,7,2,9,2,0,0,no,0.7636363636363637,0.6923076923076923,1322.9699999999998,13.125984251968505,5.933070866141733
8,90,Matthias Trattnig,19,Austria,EURO,73,212,D,1998,94,43,34,8,9,17,30,0,0,0,0,0,0,0,0,no,0.5,0.0,269.61,-6.2995594713656375,-1.2819383259911894
9,99,Erik Leverstrom,19,Sweden,EURO,74,209,D,1999,168,75,32,3,10,13,46,0,0,0,0,0,0,0,0,no,0.40625,0.0,470.25,-11.191304347826087,-1.2782608695652171
10,102,Par Backer,18,Sweden,EURO,73,179,C,2000,187,211,46,12,10,22,24,-14,0,0,0,0,0,0,0,no,0.4782608695652174,0.0,1322.9699999999998,-1.8740157480314965,-1.0669291338582678
11,118,Johan Halvardsson,20,Sweden,EURO,75,205,D,1999,102,74,39,1,2,3,73,6,0,0,0,0,0,0,0,no,0.07692307692307693,0.0,463.98,-13.191304347826087,-1.2782608695652171
12,137,Rastislav Pavlikovsky,21,Slovakia,EURO,71,198,C,1998,246,92,78,19,30,49,54,15,2,0,0,0,6,0,0,no,0.6282051282051282,0.0,576.8399999999998,4.7004405286343625,-1.2819383259911894
13,151,David Ytfeldt,19,Sweden,EURO,72,192,D,1998,136,92,44,13,10,23,129,-1,0,0,0,0,0,0,0,no,0.5227272727272727,0.0,576.8399999999998,-1.2995594713656384,-1.2819383259911894
14,175,Jan Sandstrom,21,Sweden,EURO,72,196,D,1999,173,192,47,2,7,9,18,7,0,0,0,0,0,0,0,no,0.1914893617021277,0.0,1203.84,-12.191304347826087,-1.2782608695652171
15,187,Andreas Lindstrom,18,Sweden,EURO,78,216,L,2000,279,211,9,2,2,4,14,0,0,0,0,0,0,0,0,no,0.4444444444444444,0.0,1322.9699999999998,-11.874015748031495,-1.0669291338582678
16,201,David Petrasek,22,Sweden,EURO,73,207,D,1998,226,92,47,6,10,16,90,7,5,2,2,4,14,0,0,no,0.3404255319148936,0.8,576.8399999999998,-8.299559471365638,0.7180616740088106
18,245,Mats Christeen,18,Sweden,EURO,73,194,D,2000,236,211,35,1,1,2,38,0,4,1,0,1,6,0,0,no,0.057142857142857134,0.25,1322.9699999999998,-12.874015748031495,-0.06692913385826782
19,257,Gabriel Karlsson Pears,18,Sweden,EURO,73,205,C,1998,86,22,34,11,16,27,34,0,0,0,0,0,0,0,0,no,0.7941176470588235,0.0,137.94,-3.2995594713656384,-1.2819383259911894
