,id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,rs_ppg,po_ppg,cescin,rs_gaa,po_gaa
20,273,Viktor Wallin,18,Sweden,EURO,75,207,D,1998,112,92,28,9,15,24,42,0,0,0,0,0,0,0,0,no,0.8571428571428571,0.0,576.8399999999998,-5.2995594713656375,-1.2819383259911894
23,303,Magnus Kahnberg,20,Sweden,EURO,74,201,R,2000,212,211,39,45,21,66,30,0,6,7,4,11,4,0,0,no,1.6923076923076923,1.8333333333333333,1322.9699999999998,31.125984251968504,5.933070866141733
25,306,Pelle Prestberg,23,Sweden,EURO,70,172,R,1998,233,92,49,29,15,44,22,19,12,9,2,11,8,0,0,no,0.8979591836734694,0.9166666666666666,576.8399999999998,14.700440528634362,7.718061674008809
26,308,Jari Tolsa,18,Sweden,EURO,73,198,L,1999,120,69,44,17,23,40,63,-4,0,0,0,0,0,0,0,no,0.9090909090909092,0.0,432.63,2.8086956521739133,-1.2782608695652171
28,345,Johan Eneqvist,18,Sweden,EURO,72,198,C,2000,109,32,59,16,24,40,60,2,7,1,1,2,28,0,0,no,0.6779661016949152,0.2857142857142857,200.64,2.125984251968504,-0.06692913385826782
29,355,Daniel Widing,18,Sweden,EURO,72,209,R,2000,36,21,61,18,18,36,103,1,7,1,1,2,22,0,0,no,0.5901639344262295,0.2857142857142857,131.67,4.125984251968505,-0.06692913385826782
31,359,Calle Steen,18,Sweden,EURO,72,207,C,1998,142,92,21,1,3,4,22,0,0,0,0,0,0,0,0,no,0.19047619047619047,0.0,576.8399999999998,-13.299559471365638,-1.2819383259911894
32,360,David Nystrom,19,Sweden,EURO,72,187,R,1999,224,91,49,19,16,35,22,0,2,0,0,0,0,0,0,no,0.7142857142857143,0.0,570.5699999999998,4.808695652173913,-1.2782608695652171
33,462,Tim Eriksson,18,Sweden,EURO,69,168,R,2000,206,63,59,21,35,56,118,8,6,1,6,7,4,0,0,no,0.9491525423728814,1.1666666666666667,395.01,7.125984251968505,-0.06692913385826782
35,466,Stefan Lundqvist,20,Sweden,EURO,75,214,R,1998,180,92,48,25,17,42,2,-3,1,0,0,0,0,0,0,no,0.875,0.0,576.8399999999998,10.700440528634363,-1.2819383259911894
39,521,Mattias Wennerberg,18,Sweden,EURO,72,192,L,1999,194,32,58,22,17,39,84,0,0,0,0,0,0,0,0,no,0.6724137931034483,0.0,200.64,7.808695652173912,-1.2782608695652171
46,632,Mattias Nilsson,18,Sweden,EURO,76,203,D,2000,72,71,55,6,6,12,94,2,8,0,1,1,10,0,0,no,0.21818181818181814,0.125,445.17,-7.874015748031495,-1.0669291338582678
48,663,Jimmie Svensson,18,Sweden,EURO,72,194,L,2000,228,211,34,11,5,16,141,0,0,0,0,0,0,0,0,no,0.4705882352941176,0.0,1322.9699999999998,-2.8740157480314963,-1.0669291338582678
50,725,Sanny Lindstrom,20,Sweden,EURO,73,192,D,1999,112,82,57,4,3,7,95,-1,0,0,0,0,0,0,0,no,0.12280701754385966,0.0,514.14,-10.191304347826087,-1.2782608695652171
51,807,Johan Hagglund,18,Sweden,EURO,74,201,C,2000,126,42,59,11,13,24,89,2,8,2,1,3,6,0,0,no,0.4067796610169492,0.375,263.34,-2.8740157480314963,0.9330708661417322
53,926,Petter Henning,19,Sweden,EURO,72,198,L,1999,251,192,34,13,14,27,38,0,0,0,0,0,0,0,0,no,0.7941176470588235,0.0,1203.84,-1.1913043478260867,-1.2782608695652171
55,950,Anders Lovdahl,18,Sweden,EURO,75,203,C,1999,158,66,4,1,1,2,0,-2,0,0,0,0,0,0,0,no,0.5,0.0,413.82,-13.191304347826087,-1.2782608695652171
56,991,Daniel Johansson,18,Sweden,EURO,72,203,D,1999,125,61,54,16,24,40,40,0,0,0,0,0,0,0,0,no,0.7407407407407407,0.0,382.47,1.8086956521739133,-1.2782608695652171
69,1662,Tore Vikingstad,24,Norway,EURO,75,207,C,1999,180,192,55,10,13,23,20,-5,4,2,3,5,0,0,0,no,0.41818181818181815,1.25,1203.84,-4.191304347826087,0.7217391304347827
77,2082,Michael Henrich,18,Canada,CAN,74,205,C,1998,13,5,66,41,22,63,75,5,5,1,3,4,0,0,0,no,0.9545454545454546,0.8,6.75,26.700440528634356,-0.2819383259911894
83,2617,Mikko Kuparinen,22,Finland,EURO,75,220,D,1999,244,192,55,0,5,5,89,-1,0,0,0,0,0,0,0,no,0.09090909090909093,0.0,1203.84,-14.191304347826087,-1.2782608695652171
91,3183,Teemu Laine,18,Finland,EURO,72,203,L,2000,39,16,68,13,18,31,84,5,10,5,4,9,10,0,0,no,0.4558823529411765,0.9,100.32,-0.8740157480314963,3.933070866141733
95,3188,Tuukka Makela,18,Finland,EURO,75,225,D,2000,66,31,44,3,6,9,44,3,2,0,0,0,0,0,0,no,0.20454545454545456,0.0,194.37,-10.874015748031496,-1.0669291338582678
96,3189,Tero Maatta,18,Finland,EURO,74,247,D,2000,41,13,38,6,6,12,61,1,11,1,3,4,6,0,0,no,0.3157894736842105,0.3636363636363637,81.50999999999998,-7.874015748031495,-0.06692913385826782
97,3192,Markus Seikola,18,Finland,EURO,74,194,D,2000,209,211,45,19,15,34,18,6,13,1,0,1,0,0,0,no,0.7555555555555555,0.07692307692307693,1322.9699999999998,5.125984251968505,-0.06692913385826782
98,3194,Arto Tukio,19,Finland,EURO,72,190,D,2000,101,72,81,12,11,23,66,-10,3,0,0,0,0,0,0,no,0.2839506172839506,0.0,451.44,-1.8740157480314965,-1.0669291338582678
100,3196,Jari Viuhkola,18,Finland,EURO,72,196,C,1998,158,50,56,13,27,40,101,0,0,0,0,0,0,0,0,no,0.7142857142857143,0.0,313.5,-1.2995594713656384,-1.2819383259911894
104,3213,Janne Jokila,18,Finland,EURO,69,181,L,2000,200,50,48,15,17,32,46,5,13,3,3,6,4,0,0,no,0.6666666666666666,0.4615384615384616,313.5,1.1259842519685035,1.933070866141732
108,3220,Marco Tuokko,21,Finland,EURO,73,198,L,2000,219,211,54,10,10,20,73,11,11,2,2,4,6,0,0,no,0.3703703703703704,0.3636363636363637,1322.9699999999998,-3.874015748031496,0.9330708661417322
110,3222,Tommi Hannus,18,Finland,EURO,72,190,R,1998,190,24,52,22,19,41,20,5,7,1,2,3,4,0,0,no,0.7884615384615384,0.42857142857142855,150.48,7.7004405286343625,-0.2819383259911894
111,3223,Sami Venalainen,19,Finland,EURO,71,196,R,2000,249,211,37,8,9,17,18,0,10,3,4,7,6,0,0,no,0.4594594594594595,0.7,1322.9699999999998,-5.874015748031495,1.933070866141732
112,3225,Pasi Saarinen,23,Finland,EURO,71,198,D,2000,256,211,50,9,19,28,79,10,3,0,0,0,26,0,0,no,0.56,0.0,1322.9699999999998,-4.874015748031495,-1.0669291338582678
113,3228,Mikko Ruutu,21,Finland,EURO,76,183,R,1999,201,192,49,13,8,21,38,6,4,0,0,0,2,0,0,no,0.42857142857142855,0.0,1203.84,-1.1913043478260867,-1.2782608695652171
114,3229,Teemu Sainomaa,18,Finland,EURO,76,216,C,1999,62,24,14,9,8,17,27,0,6,5,2,7,10,0,0,no,1.2142857142857142,1.1666666666666667,150.48,-5.191304347826087,3.7217391304347824
115,3231,Marko Ahosilta,18,Finland,EURO,69,194,L,1998,227,84,55,40,31,71,78,-1,0,0,0,0,0,0,0,no,1.2909090909090908,0.0,526.68,25.700440528634356,-1.2819383259911894
116,3232,Teemu Kesa,18,Finland,EURO,73,209,D,1999,100,55,44,4,6,10,174,0,10,0,0,0,12,0,0,no,0.2272727272727273,0.0,344.85,-10.191304347826087,-1.2782608695652171
118,3236,Samu Isosalo,19,Finland,EURO,76,225,C,2000,230,99,48,17,25,42,26,0,3,0,0,0,0,0,0,no,0.875,0.0,620.7299999999998,3.125984251968504,-1.0669291338582678
120,3239,Erkki Rajamaki,21,Finland,EURO,74,212,L,1999,216,192,28,2,2,4,10,1,0,0,0,0,0,0,0,no,0.14285714285714285,0.0,1203.84,-12.191304347826087,-1.2782608695652171
122,3241,Jaakko Harikkala,18,Finland,EURO,73,220,D,1999,118,31,63,6,3,9,58,-7,0,0,0,0,0,0,0,no,0.14285714285714285,0.0,194.37,-8.191304347826087,-1.2782608695652171
124,3243,Tomek Valtonen,18,Finland,EURO,73,216,L,1998,56,28,67,7,7,14,152,0,3,0,0,0,0,0,0,no,0.20895522388059698,0.0,175.56,-7.2995594713656375,-1.2819383259911894
126,3248,Arto Laatikainen,19,Finland,EURO,71,183,D,1999,197,34,73,1,16,17,48,3,5,1,3,4,2,0,0,no,0.2328767123287671,0.8,213.18,-13.191304347826087,-0.2782608695652173
127,3250,Markus Kankaanpera,19,Finland,EURO,72,218,D,1999,218,71,74,1,2,3,105,-3,3,0,0,0,0,0,0,no,0.040540540540540536,0.0,445.17,-13.191304347826087,-1.2782608695652171
128,3303,Mikko Hyytia,18,Finland,EURO,72,194,C,1999,225,51,26,10,13,23,12,0,0,0,0,0,0,0,0,no,0.8846153846153846,0.0,319.77,-4.191304347826087,-1.2782608695652171
129,3304,Lauri Kinos,20,Finland,EURO,74,207,D,2000,293,211,69,12,17,29,80,-4,5,1,1,2,6,0,0,no,0.42028985507246375,0.4,1322.9699999999998,-1.8740157480314965,-0.06692913385826782
130,3319,Petja Pietilainen,18,Finland,EURO,71,203,L,1998,256,92,72,17,12,29,79,-12,6,2,1,3,4,0,0,no,0.4027777777777778,0.5,576.8399999999998,2.7004405286343616,0.7180616740088106
132,3456,Tamas Groschl,19,Hungary,EURO,75,209,L,1999,256,192,34,11,10,21,39,-3,0,0,0,0,0,0,0,no,0.6176470588235294,0.0,1203.84,-3.1913043478260867,-1.2782608695652171
133,3575,Rod Sarich,18,U.K.,EURO,75,187,D,1999,109,132,63,3,15,18,22,15,21,1,2,3,8,0,0,no,0.2857142857142857,0.14285714285714285,827.64,-11.191304347826087,-0.2782608695652173
148,4053,Georgijs Pujacs,18,Latvia,EURO,73,216,D,1999,264,192,21,2,12,14,22,12,0,0,0,0,0,0,0,no,0.6666666666666666,0.0,1203.84,-12.191304347826087,-1.2782608695652171
167,5873,Peter Fabus,21,Slovakia,EURO,74,196,C,2000,281,211,54,20,11,31,34,0,5,1,1,2,0,0,0,no,0.5740740740740741,0.4,1322.9699999999998,6.125984251968505,-0.06692913385826782
172,6421,Shaun Sutter,18,Canada,CAN,73,181,R,1998,102,92,69,11,9,20,146,-13,4,0,0,0,4,0,0,no,0.2898550724637681,0.0,124.2,-3.2995594713656384,-1.2819383259911894
174,6627,Brent Mcdonald,19,Canada,CAN,71,185,R,1998,239,92,69,18,27,45,93,10,5,0,2,2,4,0,0,no,0.6521739130434783,0.4,124.2,3.7004405286343616,-1.2819383259911894
177,7113,Kevin Holdridge,18,USA,USA,75,205,D,1998,70,92,61,4,15,19,106,23,15,0,3,3,20,0,0,no,0.3114754098360656,0.2,124.2,-10.299559471365637,-1.2819383259911894
178,7311,Kristian Kovac,18,Slovakia,EURO,74,198,R,1999,122,30,52,31,22,53,77,0,2,1,0,1,2,0,0,no,1.0192307692307692,0.5,188.1,16.808695652173913,-0.2782608695652173
184,7619,J.D. Forrest,19,USA,USA,69,181,D,2000,181,211,57,6,28,34,48,0,3,0,0,0,6,0,0,no,0.5964912280701754,0.0,284.85,-7.874015748031495,-1.0669291338582678
190,8068,Tomas Harant,20,Slovakia,EURO,74,209,D,2000,173,84,58,1,12,13,94,0,0,0,0,0,0,0,0,no,0.2241379310344828,0.0,526.68,-12.874015748031495,-1.0669291338582678
191,8096,Lou Dickenson,18,Canada,CAN,74,194,L,2000,113,32,66,21,25,46,46,-69,0,0,0,0,0,0,0,no,0.696969696969697,0.0,43.2,7.125984251968505,-1.0669291338582678
193,8388,Radek Duda,19,Czech Rep.,EURO,73,201,R,1998,192,43,46,5,3,8,28,-4,10,0,2,2,6,0,0,no,0.17391304347826084,0.2,269.61,-9.299559471365637,-1.2819383259911894
202,8473,Jonathan Zion,18,Canada,CAN,73,205,D,1999,110,72,60,8,33,41,10,25,9,2,3,5,8,0,0,no,0.6833333333333333,0.5555555555555556,97.2,-6.191304347826088,0.7217391304347827
259,9382,Patrick Foley,19,USA,USA,73,220,R,2000,185,97,37,4,7,11,92,2,0,0,0,0,0,0,0,no,0.2972972972972973,0.0,130.95000000000002,-9.874015748031496,-1.0669291338582678
269,9452,Marc Cavosie,19,USA,USA,72,196,C,2000,99,50,33,12,18,30,26,0,0,0,0,0,0,0,0,no,0.9090909090909092,0.0,67.5,-1.8740157480314965,-1.0669291338582678
270,9453,Brett Nowak,19,USA,USA,75,196,C,2000,103,22,33,6,12,18,22,-2,0,0,0,0,0,0,0,no,0.5454545454545454,0.0,29.700000000000006,-7.874015748031495,-1.0669291338582678
271,9455,Justin Morrison,19,USA,USA,75,220,R,1998,81,45,42,4,9,13,8,0,0,0,0,0,0,0,0,no,0.30952380952380953,0.0,60.75000000000001,-10.299559471365637,-1.2819383259911894
284,9552,Maxim Orlov,18,Russia,EURO,72,209,C,1999,219,54,9,3,2,5,6,1,1,0,0,0,0,0,0,no,0.5555555555555556,0.0,338.58,-11.191304347826087,-1.2782608695652171
285,9553,Andrei Shefer,18,Russia,EURO,72,198,D,1999,43,16,36,10,7,17,44,-1,0,0,0,0,0,0,0,no,0.4722222222222222,0.0,100.32,-4.191304347826087,-1.2782608695652171
286,9554,Sergei Soin,18,Russia,EURO,72,207,C,2000,50,12,38,8,9,17,34,12,0,0,0,0,0,0,0,no,0.4473684210526316,0.0,75.24,-5.874015748031495,-1.0669291338582678
287,9556,Denis Denisov,19,Russia,EURO,72,194,D,2000,149,57,47,2,9,11,20,3,0,0,0,0,0,0,0,no,0.23404255319148934,0.0,357.39,-11.874015748031495,-1.0669291338582678
288,9558,Ilya Nikulin,18,Russia,EURO,75,223,D,2000,31,5,49,6,8,14,104,2,0,0,0,0,0,0,0,no,0.2857142857142857,0.0,31.35,-7.874015748031495,-1.0669291338582678
290,9562,Ruslan Zainullin,18,Russia,EURO,74,225,R,2000,34,8,38,22,9,31,26,11,0,0,0,0,0,0,0,no,0.8157894736842105,0.0,50.16,8.125984251968504,-1.0669291338582678
306,9594,Dmitri Kirilenko,20,Russia,EURO,71,196,R,1999,252,58,44,7,9,16,28,5,0,0,0,0,0,0,0,no,0.3636363636363637,0.0,363.66,-7.191304347826088,-1.2782608695652171
307,9597,Alexander Ryazantsev,18,Russia,EURO,72,225,D,1998,167,8,59,12,18,30,48,1,0,0,0,0,0,0,0,no,0.5084745762711864,0.0,50.16,-2.2995594713656384,-1.2819383259911894
308,9598,Yevgeni Muratov,19,Russia,EURO,69,176,R,2000,274,211,44,17,11,28,8,8,9,0,0,0,2,0,0,no,0.6363636363636364,0.0,1322.9699999999998,3.125984251968504,-1.0669291338582678
309,9599,Anton But,18,Russia,EURO,74,214,L,1998,119,23,28,5,3,8,16,1,0,0,0,0,0,0,0,no,0.2857142857142857,0.0,144.20999999999995,-9.299559471365637,-1.2819383259911894
310,9601,Alexander Buturlin,18,Russia,EURO,72,198,R,1999,39,4,24,4,3,7,47,-1,3,1,0,1,2,0,0,no,0.2916666666666667,0.3333333333333333,25.08,-10.191304347826087,-0.2782608695652173
312,9605,Ivan Rachunek,18,Czech Rep.,EURO,69,176,L,1999,187,87,51,39,25,64,12,-1,0,0,0,0,0,0,0,no,1.2549019607843137,0.0,545.49,24.808695652173913,-1.2782608695652171
321,9636,Rene Vydareny,18,Slovakia,EURO,73,214,D,1999,69,12,69,5,13,18,73,6,2,0,0,0,2,0,0,no,0.2608695652173913,0.0,75.24,-9.191304347826087,-1.2782608695652171
322,9637,Luca Cereda,18,Switzerlan,EURO,74,203,C,1999,24,14,54,13,21,34,48,0,15,0,6,6,4,0,0,no,0.6296296296296297,0.4,87.78,-1.1913043478260867,-1.2782608695652171
323,9638,Sven Helfenstein,18,Switzerlan,EURO,70,176,L,2000,175,15,56,13,13,26,36,2,9,0,1,1,0,0,0,no,0.4642857142857143,0.1111111111111111,94.05,-0.8740157480314963,-1.0669291338582678
332,10410,Scott Kelman,18,Canada,CAN,75,216,C,1999,15,6,66,19,54,73,95,0,11,4,3,7,37,0,0,no,1.106060606060606,0.6363636363636364,8.100000000000001,4.808695652173913,2.7217391304347824
335,10422,Cory Pecker,18,Canada,CAN,72,198,R,1999,166,69,68,25,34,59,24,20,5,1,2,3,2,0,0,no,0.8676470588235294,0.6,93.15,10.808695652173913,-0.2782608695652173
336,10423,Paul Cabana,20,Canada,CAN,72,203,R,1998,149,92,52,48,32,80,121,0,0,0,0,0,0,0,0,no,1.5384615384615383,0.0,124.2,33.70044052863436,-1.2819383259911894
344,10503,Grant Potulny,20,USA,USA,75,205,C,2000,157,186,56,25,30,55,85,0,10,3,4,7,4,0,0,no,0.9821428571428572,0.7,251.1,11.125984251968504,1.933070866141732
353,10635,Michal Macho,18,Slovakia,EURO,73,198,C,2000,183,95,12,2,5,7,6,1,0,0,0,0,0,0,0,no,0.5833333333333334,0.0,595.65,-11.874015748031495,-1.0669291338582678
360,10689,Nathan Barrett,19,Canada,CAN,72,190,C,2000,241,85,72,44,38,82,38,-5,0,0,0,0,0,0,0,no,1.1388888888888888,0.0,114.75,30.125984251968504,-1.0669291338582678
362,10722,Martin Bartek,18,Slovakia,EURO,72,223,R,1998,202,92,73,24,40,64,76,-7,0,0,0,0,0,0,0,no,0.8767123287671232,0.0,576.8399999999998,9.700440528634363,-1.2819383259911894
364,10840,Yorick Treille,19,France,EURO,75,196,R,1999,195,93,37,10,12,22,34,0,0,0,0,0,0,0,0,no,0.5945945945945946,0.0,583.11,-4.191304347826087,-1.2782608695652171
366,10854,Libor Ustrnul,18,Czech Rep.,EURO,78,265,D,2000,42,17,68,0,15,15,208,24,23,0,3,3,29,0,0,no,0.22058823529411764,0.13043478260869565,106.59,-13.874015748031495,-1.0669291338582678
367,10870,Zbynek Irgl,20,Czech Rep.,EURO,72,194,R,2000,197,68,55,9,6,15,18,-15,0,0,0,0,0,0,0,no,0.2727272727272727,0.0,426.36,-4.874015748031495,-1.0669291338582678
369,10884,Christian Larrivee,18,Canada,CAN,75,214,C,2000,114,138,69,8,15,23,18,0,0,0,0,0,0,0,0,no,0.3333333333333333,0.0,186.3,-5.874015748031495,-1.0669291338582678
370,10900,James Desmarais,20,Canada,CAN,70,174,C,1999,270,192,66,62,73,135,127,44,11,6,7,13,14,0,0,no,2.0454545454545454,1.181818181818182,259.20000000000005,47.80869565217391,4.721739130434782
374,11048,Marc-Andre Thinel,18,Canada,CAN,72,187,R,1999,145,32,67,45,58,103,16,-1,6,5,3,8,4,0,0,no,1.537313432835821,1.3333333333333333,43.2,30.808695652173913,3.7217391304347824
410,11454,Joe Rullier,18,Canada,CAN,75,231,D,1998,133,92,55,1,10,11,176,0,16,1,4,5,34,0,0,no,0.2,0.3125,124.2,-13.299559471365638,-0.2819383259911894
423,11515,Matt Demarchi,19,Italy,EURO,75,190,D,2000,57,28,39,1,6,7,82,0,0,0,0,0,0,0,0,no,0.1794871794871795,0.0,175.56,-12.874015748031495,-1.0669291338582678
424,11517,Vadim Khomitsky,18,Russia,EURO,73,198,D,2000,123,211,35,1,1,2,57,0,0,0,0,0,0,0,0,no,0.057142857142857134,0.0,1322.9699999999998,-12.874015748031495,-1.0669291338582678
432,11547,Carl Mallette,19,Canada,CAN,73,194,C,2000,107,37,69,49,76,125,97,3,6,6,3,9,28,0,0,no,1.8115942028985508,1.5,49.95,35.125984251968504,4.9330708661417315
445,11610,Jared Newman,18,USA,USA,74,198,D,2000,110,55,50,1,15,16,123,11,23,0,5,5,34,0,0,no,0.32,0.21739130434782608,74.25,-12.874015748031495,-1.0669291338582678
469,11730,Ryan Glenn,20,Canada,CAN,73,198,D,2000,145,162,42,19,40,59,54,0,0,0,0,0,0,0,0,no,1.4047619047619049,0.0,218.7,5.125984251968505,-1.0669291338582678
470,11757,Trevor Byrne,19,USA,USA,75,201,D,1999,143,63,25,9,19,28,22,0,0,0,0,0,0,0,0,no,1.12,0.0,85.05000000000003,-5.191304347826087,-1.2782608695652171
472,11822,Kevin Baker,20,Canada,CAN,72,192,R,1999,193,192,68,44,37,81,66,32,12,12,5,17,12,0,0,no,1.1911764705882353,1.4166666666666667,259.20000000000005,29.808695652173913,10.721739130434784
486,12019,Joe Cullen,19,USA,USA,73,209,C,2000,211,79,29,4,5,9,30,0,0,0,0,0,0,0,0,no,0.3103448275862069,0.0,106.65,-9.874015748031496,-1.0669291338582678
488,12028,Dan Cavanaugh,19,USA,USA,74,196,C,1999,38,54,36,6,8,14,60,1,0,0,0,0,0,0,0,no,0.3888888888888889,0.0,72.9,-8.191304347826087,-1.2782608695652171
489,12030,Stephen Baby,19,USA,USA,77,229,R,1999,188,192,55,23,24,47,83,0,6,1,1,2,4,0,0,no,0.8545454545454545,0.3333333333333333,259.20000000000005,8.808695652173913,-0.2782608695652173
511,12210,Peter Podhradsky,21,Slovakia,EURO,74,203,D,2000,134,211,49,4,12,16,77,-4,8,1,0,1,2,0,0,no,0.32653061224489793,0.125,1322.9699999999998,-9.874015748031496,-0.06692913385826782
518,12249,Ivan Nepryayev,18,Russia,EURO,74,187,C,2000,163,211,43,9,14,23,38,0,0,0,0,0,0,0,0,no,0.5348837209302325,0.0,1322.9699999999998,-4.874015748031495,-1.0669291338582678
520,12255,Martin Richter,23,Czech Rep.,EURO,72,198,D,2000,269,211,58,1,12,13,84,-9,0,0,0,0,0,0,0,no,0.2241379310344828,0.0,1322.9699999999998,-12.874015748031495,-1.0669291338582678
539,12308,Andre Lakos,20,Austria,EURO,79,238,D,1999,95,102,68,4,23,27,46,33,12,3,3,6,8,0,0,no,0.3970588235294117,0.5,639.54,-10.191304347826087,1.7217391304347829
554,12479,Regan Kelly,19,Canada,CAN,74,196,D,2000,259,154,46,8,21,29,20,0,0,0,0,0,0,0,0,no,0.6304347826086957,0.0,207.9,-5.874015748031495,-1.0669291338582678
578,12550,Agris Saviels,18,Latvia,EURO,74,201,D,2000,63,38,75,9,27,36,70,7,0,0,0,0,0,0,0,no,0.48,0.0,238.26,-4.874015748031495,-1.0669291338582678
585,12577,Chris Lyness,18,Canada,CAN,74,205,D,1998,229,92,65,2,15,17,100,9,6,0,1,1,12,0,0,no,0.26153846153846155,0.16666666666666666,124.2,-12.299559471365638,-1.2819383259911894
587,12617,Nathan Martz,19,Hungary,EURO,74,190,C,2000,140,136,59,35,75,110,97,0,0,0,0,0,0,0,0,no,1.8644067796610169,0.0,852.7199999999998,21.125984251968504,-1.0669291338582678
589,12636,Matt Kinch,19,Canada,CAN,71,187,D,1999,146,192,68,14,69,83,16,50,21,7,23,30,8,0,0,no,1.2205882352941178,1.4285714285714286,259.20000000000005,-0.19130434782608674,5.721739130434782
590,12643,Martin Hohener,20,Switzerlan,EURO,73,192,D,2000,284,211,51,4,3,7,24,-1,7,1,1,2,2,0,0,no,0.13725490196078433,0.2857142857142857,1322.9699999999998,-9.874015748031496,-0.06692913385826782
596,12697,Adrian Wichser,18,Switzerlan,EURO,71,187,C,1998,231,35,48,8,10,18,35,-4,7,0,1,1,6,0,0,no,0.375,0.14285714285714285,219.45,-6.2995594713656375,-1.2819383259911894
597,12724,Blake Robson,18,Canada,CAN,72,203,L,2000,108,93,70,20,27,47,96,-26,0,0,0,0,0,0,0,no,0.6714285714285714,0.0,125.55,6.125984251968505,-1.0669291338582678
598,12753,Scott Cameron,18,Canada,CAN,72,187,L,1999,185,42,66,10,32,42,14,23,12,2,2,4,2,0,0,no,0.6363636363636364,0.3333333333333333,56.7,-4.191304347826087,0.7217391304347827
599,12761,Brian Passmore,20,Canada,CAN,71,181,C,2000,199,211,58,22,36,58,98,-1,5,0,5,5,10,0,0,no,1.0,1.0,284.85,8.125984251968504,-1.0669291338582678
600,12762,K.C. Timmons,18,Canada,CAN,75,229,D,1998,141,92,72,11,7,18,139,-26,0,0,0,0,0,0,0,no,0.25,0.0,124.2,-3.2995594713656384,-1.2819383259911894
601,12763,Brett Clouthier,18,Canada,CAN,76,225,L,1999,50,59,64,8,14,22,227,-27,5,1,1,2,4,0,0,no,0.34375,0.4,79.65,-6.191304347826088,-0.2782608695652173
602,12766,Greg Barber,19,Canada,CAN,72,192,R,1999,207,192,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0.0,0.0,259.20000000000005,-14.191304347826087,-1.2782608695652171
